CustomerID,Gender,Age,Tenure,Contract,MonthlyCharges,InternetService,PaymentMethod,Churn,TotalCharges
CUST_000001,Male,52,6,Month-to-Month,108.21,No,Electronic Check,No,655.38
CUST_000002,Female,54,50,Month-to-Month,76.37,No,Credit Card,Yes,3841.06
CUST_000003,Male,53,1,Month-to-Month,84.69,DSL,Bank Transfer,Yes,83.83
CUST_000004,Male,46,31,Month-to-Month,106.96,DSL,Mailed Check,Yes,3344.01
CUST_000005,Male,42,64,One Year,97.59,DSL,Credit Card,No,6415.44
CUST_000006,Female,42,25,Month-to-Month,83.01,No,Mailed Check,Yes,1997.95
CUST_000007,Male,42,13,Month-to-Month,118.23,No,Electronic Check,No,1609.2
CUST_000008,Male,62,1,Month-to-Month,88.57,DSL,Bank Transfer,Yes,86.26
CUST_000009,Male,53,60,Month-to-Month,117.55,Fiber Optic,Bank Transfer,Yes,7016.14
CUST_000010,Female,18,15,One Year,25.74,DSL,Electronic Check,No,367.67
CUST_000011,Male,54,1,Two Year,33.9,Fiber Optic,Electronic Check,No,34.07
CUST_000012,Male,47,28,Month-to-Month,65.15,No,Mailed Check,No,1802.65
CUST_000013,Male,44,15,Month-to-Month,58.49,DSL,Electronic Check,No,855.39
CUST_000014,Male,39,3,Two Year,98.27,No,Bank Transfer,No,309.12
CUST_000015,Female,61,5,Month-to-Month,36.06,No,Bank Transfer,No,179.0
CUST_000016,Male,59,1,Two Year,117.61,No,Mailed Check,Yes,116.6
CUST_000017,Female,33,20,Month-to-Month,51.51,DSL,Mailed Check,Yes,1026.4
CUST_000018,Female,51,23,Month-to-Month,62.89,DSL,Mailed Check,Yes,1390.95
CUST_000019,Female,30,16,Month-to-Month,47.47,DSL,Electronic Check,Yes,751.4
CUST_000020,Male,24,40,Month-to-Month,77.94,Fiber Optic,Electronic Check,Yes,3066.6
CUST_000021,Female,35,47,Month-to-Month,25.86,Fiber Optic,Electronic Check,No,1211.18
CUST_000022,Male,57,22,Two Year,34.97,DSL,Electronic Check,Yes,796.78
CUST_000023,Female,59,1,One Year,94.58,Fiber Optic,Bank Transfer,No,91.67
CUST_000024,Female,52,28,One Year,38.65,DSL,Credit Card,No,1093.86
CUST_000025,Female,55,12,One Year,43.55,DSL,Mailed Check,No,498.44
CUST_000026,Female,52,20,Month-to-Month,99.3,Fiber Optic,Credit Card,Yes,1949.61
CUST_000027,Female,35,25,One Year,29.33,DSL,Credit Card,No,731.25
CUST_000028,Female,51,10,Month-to-Month,63.75,DSL,Credit Card,No,610.36
CUST_000029,Female,57,59,One Year,22.31,Fiber Optic,Credit Card,No,1322.08
CUST_000030,Female,56,3,Month-to-Month,54.68,No,Bank Transfer,Yes,160.93
